item_title,item_description,item_url,item_component,item_price
Prime Doyenne 50 Carbon Rim Brake Wheelset,"Whether you’re road racing on the flat or competing in a time trial (TT) or triathlon (Tri) event, the Prime Doyenne 50 Carbon Rim Brake Wheelset comes equipped with a carbon fibre build and a range of performance-enhancing technologies.
This wheelset features an ultra-stiff carbon fibre construction, which makes it strong enough for road racing as well as training. Coming equipped with a revised wider rim profile, this race-ready wheelset delivers increased aerodynamics, comfort, speed and traction when you need it most. Prime has also ensured that its rim profile is deep enough for time trails and crits, so you can enjoy its versatile performance whatever your discipline.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 50 Carbon Rim Brake Wheelset is fine-tuned for wherever your ride takes you. Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, it delivers an exceptional balance of strength and durability on every mile. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 50 Carbon Rim Brake Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your road, time trial or triathlon ride a performance boost.
In The Box:
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
SR2 Front Axle Silver QR
SR2 Front End Caps Black QR
SR2 Rear Axle Silver QR
SR2 Rear End Caps Black QR",https://www.wiggle.com//p/prime-doyenne-50-carbon-rim-brake-wheelset,Shimano/SRAM HG,£349.99
Prime Doyenne 56 Carbon Disc Wheelset,"Ideal for flat road racing/riding as well as time trial (TT) and triathlon (Tri) disciplines, the Prime Doyenne 56 Carbon Disc Wheelset is feature-packed with technologies to upgrade the performance of your ride.
Whether you’re clocking up the miles with your local road club or competing in a TT or Tri event, this versatile wheelset is developed for reliable performance. It features two high-quality T700 unidirectional (UD) carbon fibre rims, which allow it to deliver the best balance of stiffness and durability, while also keeping weight impressively low. Prime has also kitted out this version with a 56mm rim depth that offers smooth rolling properties with increased aerodynamics as you cut through the wind.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 56 Carbon Disc Wheelset has been put through the brand’s CFD testing process, where multiple sizes and shapes are trialled before coming up with the perfect blend of strength, weight and aerodynamics. As a result, you’ll benefit from Prime’s final product that you can trust and rely on thanks to its road testing by professional riders.
Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, this race-ready wheelset is all set for wherever your next ride takes you. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 56 Carbon Disc Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your ride a performance boost.
In The Box:
Tubeless Valves
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR2D 12mm Front End Caps Black 12mm
SR2D 12mm Rear End Caps Black 12mm
SR2D 15mm Front End Caps Black 15mm
SR2D QR Front End Caps Black QR
SR2D QR Rear End Caps Black QR
SR2D Disc Brake Rear Hub Grey 12 x 142mm
SR2D Front Axle Silver 12 x 135mm
SR2D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-doyenne-56-carbon-disc-wheelset,Shimano/SRAM HG,£399.99
Prime Doyenne 44 Carbon Disc Wheelset,"Ideal for races with rolling terrain and riding fast gravel routes, the Prime Doyenne 44 Carbon Disc Wheelset features a carbon fibre build with a 44mm rim depth and tubeless ready technology.
This versatile wheelset is feature-packed with technologies to upgrade the performance of your ride. It features two high-quality T700 unidirectional (UD) carbon fibre rims, which allow it to deliver the best balance of stiffness and durability, while also keeping the weight impressively low. Prime has also kitted out this version with a 44mm rim depth that offers smooth rolling properties with increased aerodynamics as you cut through the wind. It is a perfect companion for handling the demands of rolly races/riding and fast gravel.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 44 Carbon Disc Wheelset has been put through the brand’s CFD testing process, where multiple sizes and shapes are trialled before coming up with the perfect blend of strength, weight and aerodynamics. As a result, you’ll benefit from Prime’s final product that you can trust and rely on thanks to its road testing by professional riders.
Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, this race-ready wheelset is all set for wherever your next ride takes you. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 44 Carbon Disc Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your ride a performance boost.
In The Box:
Tubeless Valves
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR2D 12mm Front End Caps Black 12mm
SR2D 12mm Rear End Caps Black 12mm
SR2D 15mm Front End Caps Black 15mm
SR2D QR Front End Caps Black QR
SR2D QR Rear End Caps Black QR
SR2D Disc Brake Rear Hub Grey 12 x 142mm
SR2D Front Axle Silver 12 x 135mm
SR2D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
Prime Lifetime Crash Replacement Programme
At Prime we understand that a crash or unexpected accident may occur under normal riding conditions. If in the event of a fall or accident where your Prime product sustains damage beyond repair, you can return the damaged component in exchange for a new product at 40% off the RRP.",https://www.wiggle.com//p/prime-doyenne-44-carbon-disc-wheelset,Shimano/SRAM HG,£419.99
Fulcrum Wind 40 Disc Wheelset,"Built to send you on climbs, sprints and descents with unrivalled speed and stability, the carbon fibre Fulcrum Wind 40 road bike wheels give a rigid and responsive performance as you hit high speeds. Giving optimum crosswind stability from the 40mm rim depth and a superb surface contact area from their 27mm width, an assured and balanced feel is achieved on every ride.
Strong and Efficient Carbon-Fibre Road Wheels
Supported by a set of robust and reliable aluminium hubs, the Fulcrum Wind 40 Disc Wheelset benefits from a double butted stainless-steel spoke setup. The hubs also come with sealed cartridge bearings for minimised friction on the most challenging runs. With Two-Way Fit tubeless-ready compatibility improving cornering grip and puncture protection and disc brake optimisation for superior stopping power, this Wind 40 wheelset is a deep-rimmed and dynamic choice for hitting the road.",https://www.wiggle.com//p/fulcrum-wind-40-disc-wheelset,"Shimano/SRAM HG, SRAM XDR","£649.99 - £1,034.99"
Prime Doyenne 38 Carbon Rim Brake Wheelset,"Classed as a perfect all-rounder, the Prime Doyenne 38 Carbon Rim Brake Wheelset boasts a carbon fibre rim construction with tubeless ready technology and rim brake compatibility. As a result, it offers superb aerodynamics as well as incredible strength.
Engineered for the demands of modern road racing and riding, this versatile wheelset features a high-quality T700 unidirectional (UD) carbon fibre rim build. Its stiff and lightweight construction combined with 38mm rim depth, means that you’ll benefit from a superior strength to weight ratio as well as increased aerodynamics as you cut through the wind.
Developed with Team Spectra and Star Ratchet Hubs
Developed with Team Spectra, this wheelset comes equipped with a range of performance-enhancing technologies to help you perform at your best and upgrade your ride. Prime has used an SR2, 36T Ratchet System, CNC machined 6061 alloy hub body, so you can enjoy greater reliability due to each of the ratchets engaging simultaneously every time. Its incorporated notch also means that the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Due to this easy to use system, tool-free freehub conversion is possible should you choose to make changes to your setup in the future.
Rim Brake Compatible and Tubeless Ready
This road bike wheelset features rim brake compatibility, which keeps its weight reduced while also boosting its aerodynamic profile. Prime has also given it a tubeless ready design, so you can run tubeless tyres and enjoy performance advantages such as lower rolling resistance, increased traction and fewer risks of punctures. Coming complete with J-Bend Pillar PDB1415 spokes, the Prime Doyenne 38 Carbon Rim Brake Wheelset is an ideal choice of upgrade for conquering every mile of road.
In The Box:
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
SR2 Front Axle Silver QR
SR2 Front End Caps Black QR
SR2 Rear Axle Silver QR
SR2 Rear End Caps Black QR",https://www.wiggle.com//p/prime-doyenne-38-carbon-rim-brake-wheelset,Shimano/SRAM HG,£399.99
Prime Primavera 56 Carbon Disc Wheelset,"Developed with Team Spectra in search of the marginal gains that could help them in some of the UK’s biggest races, this wheelset is designed for flat road races as well as time trial and triathlon racing. Featuring a stiff and lightweight T800 UD carbon fibre rim construction, this model provides an excellent strength-to-weight ratio to give you maximum smoothness without adding any unnecessary excess grams to your ride. Prime has also put this version through its CFD testing process, where multiple sizes and shapes were used before coming up with the perfect blend of strength, weight and aerodynamics.
Greater Strength To Weight Ratio
Built-up using an SR1D, CNC machined 6061 alloy hub body and DT Swiss straight pull spokes, the Prime Primavera 56 Carbon Disc Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible.
Tubeless Ready Carbon Wheelset
Developed to give modern riders and racers a much-needed performance upgrade, this wheelset comes kitted out with tubeless ready technology. This means that you can choose to run it tubeless and enjoy advantages such as the ability to run lower tyre pressures for increased stability, comfort and fewer chances of flats or punctures.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-56-carbon-disc-wheelset,Shimano/SRAM HG,£649.99
Prime Primavera 85 Carbon Rim Brake Rr Wheel,"Wider = Improved Performance
Developed with Team Spectra, this race-ready rear wheel features an 85mm deep aero rim profile, meaning you get more speed for the same effort. A wider rim profile creates a more linear contour with the tyre to increase the Primavera 85’s aerodynamic properties.
Greater Strength To Weight Ratio
Built up using a SR1, 36T Ratchet System, CNC machined 6061 alloy hub and DT Swiss straight pull spokes, this model creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible. Coming kitted out with an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier.
Aero Advantage
If you’re looking for an advantage in your next TT or Triathlon event, the Prime Primavera 85 Carbon rear wheel is a perfect choice of upgrade to improve your ride.
Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before they settled on the new and improved Primavera 85 rim. But that’s not all, they’ve upgraded to a higher grade of carbon, saving precious grams, and improving on the impact strength/weight ratio making the new Primavera 85 their best rim yet.
In The Box:
x4 spare spokes and nipples
Tubeless Valves
QR skewers
10 speed spacer
Prime Carbon brake pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-85-carbon-rim-brake-rr-wheel,Shimano/SRAM HG,£349.99
Prime Primavera 44 Carbon Disc Wheelset,"Developed with Team Spectra in search of the marginal gains that could help them in some of the UK’s biggest races, this wheelset is designed for rolly races and riding as well as fast gravel. Featuring a stiff and lightweight T800 UD carbon fibre rim construction, this model provides an excellent strength-to-weight ratio to give you maximum smoothness without adding any unnecessary excess grams to your ride. Prime has also put this version through its CFD testing process, where multiple sizes and shapes were used before coming up with the perfect blend of strength, weight and aerodynamics.
Greater Strength To Weight Ratio
Built-up using an SR1D, CNC machined 6061 alloy hub body and DT Swiss straight pull spokes, the Prime Primavera 44 Carbon Disc Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible. Coming kitted out with an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier.
Tubeless Ready Carbon Wheelset
Developed to give modern riders and racers a much-needed performance upgrade, this wheelset comes kitted out with tubeless ready technology. This means that you can choose to run it tubeless and enjoy advantages such as the ability to run lower tyre pressures for increased stability, comfort and fewer chances of flats or punctures.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-44-carbon-disc-wheelset,Shimano/SRAM HG,£539.99
Prime Primavera 38 Carbon Rim Brake Wheelset,"Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before it settled on its new and improved Primavera 38 rim. But, that’s not all, the brand has upgraded to a higher grade of carbon, saving 40g per rim, and improving on the impact strength/weight ratio making the new Primavera 38 their best rim yet.
Wider = Improved Performance
The Prime Primavera 38 Carbon Wheelset features a 38mm deep aero rim profile to deliver benefits across multiple yaw angles. A wider rim profile creates a more linear contour with the tyre to increase the Primavera 38’s aerodynamic properties.
Greater Strength To Weight Ratio
Built up using the R010 CNC machined 7075 hubset and DT Swiss straight pull spokes the Prime Primavera 38 Carbon Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity.
Shave The Seconds
If you’re looking for an upgrade to shave the seconds away, the Prime Primavera 38 Carbon Wheelset is the wheelset you need to tame any terrain.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
SR1 Front Axle Silver QR
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
Prime Lifetime Crash Replacement Programme
At Prime we understand that a crash or unexpected accident may occur under normal riding conditions. If in the event of a fall or accident where your Prime product sustains damage beyond repair, you can return the damaged component in exchange for a new product at 40% off the RRP.",https://www.wiggle.com//p/prime-primavera-38-carbon-rim-brake-wheelset,Shimano/SRAM HG,£539.99
Fulcrum Racing 6 Disc Road Wheelset,"Guaranteeing performance and reliability at a budget-friendly price, this road bike wheelset is fine-tuned for smooth performance wherever your ride takes you. Thanks to its hard-wearing aluminium rims, it provides excellent strength and durability as you clock up the miles. Fulcrum has also equipped this model with 24 stainless steel, straight-pull spokes and brass nipples for increased rigidity as you put the power down. Coming complete with sealed cartridge bearings, disc brake compatibility and a range of ride-enhancing technologies, this is a great choice for dependable performance at an affordable price.
The great versatility of these wheels, whether training or on road rides with a gravel bike, is ensured by the updated low profile 24mm aluminium rims and an inner rim channel of 20mm, with the 2 Way Fit system.
The technical specifications of the Racing 6 DB ensure that they excel in different situations, climbing as well as windy conditions, and they can also fit wider tyres, clincher or tubeless (tubeless tape installed and valves included).
2-Way Fit Technology
2-Way Fit profile for tubeless and clincher. Tubeless technology was first used by the auto industry, then by motorcycles and now has reached the cycling industry. After its debut with mountain bikes the moment has come to “put it on the road”, and that’s what Fulcrum propose to do. The brand has developed its 2-Way Fit technology to ensure the perfect compatibility of its tubeless rims with normal clincher types and tubes. 2-Way Fit road bike wheels are perfectly multipurpose for tackling every situation. Thanks to a special impression in the valve area, the tubes are fitted with maximum precision while keeping the tube perfectly stable inside the tyre. Housing the valve for tubeless tyres is also risk-free, with the unquestionable advantage that there are never any air infiltrations caused by non-ideal positioning when fitting.
AFS Axle System
The Axial Fixing System is the solution developed by Fulcrum to fix the disc brake to the hub. The constraint granted by the butt area of the release mechanism, greater than in familiar standard ones, makes it possible to obtain greater structural rigidity and therefore more precise and powerful braking.
F.I.C 100% Handmade Quality
Fulcrum Identification Card (F.I.C) 100%handemade quality. Right from its inception, Fulcrum has been marked by a feature that continues to this day: that is to design, prototype and industrialise all the wheels characterised by the red “F”. Indeed these take shape inside of the R&D, the leading-edge department that represents the beating heart of the Italian company. Every single component of the wheel, the materials chosen and the technologies applied are the tangible result of the effort that Fulcrum makes every day to give you maximum performance and reliability.
Additional Item Top Features:
Rims
Tyre Type: Clincher
Rim Height Category: Low
Tyre Size: 700c
Tyre Width: From 25mm to 50mm
Inner Rim Width (Channel): 20mm
ASTM Category: 2
Weight Limit: 120kg (system)
Spokes
Front Wheel Spokes: 24 (16 left - 8 right)
Rear Wheel Spokes: 24 (8 left - 16 right)
Spokes Material: Stainless Steel
Spokes Profile Technology: Rounded, Straight-pull
Nipples: Brass
Hubs
Front Hub: Aluminium, Aluminium flanges
Rear Hub: Aluminium, Aluminium flanges
Bearings: Sealed cartridge bearings
Freehub: Shimano HG11
Manufacturer’s Part Number:
FULCWF3960AP1A110 Black 700c Shimano 11sp",https://www.wiggle.com//p/fulcrum-racing-6-disc-road-wheelset,"Campagnolo 13sp, Shimano 11sp, SRAM XDR",£139.99 - £243.99
